Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Bloco da Sorveteria ;Pedra de Guaratiba;Zona Oeste;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão N283 até 464;300;2015;
Bloco das Piranhas do Jefinho;Pedra de Guaratiba;Zona Oeste;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão, da Praça São Pedro até a Rua Saião Lobato;700;1985;
Bloco do Rock;Ilha do Governador;Zona Norte 3;09/02/2018;Sexta-feira de Carnaval;19:00:00;19:00:00;22:00:00;Praça Iaiá Garcia;Parado;1.000;2014;
Bloco dos Aposentados;Centro;Centro;09/02/2018;Sexta-feira de Carnaval;17:00:00;19:00:00;21:00:00;Buraco do Lume;Segue pelaGraça Aranha, Rua Santa Luzia, Rua México e Buraco do Leme;1.200;1991;
Bloco Sinfônico ;Centro;Centro;09/02/2018;Sexta-feira de Carnaval;17:00:00;19:00:00;21:00:00;Praça Mercado Municipal ;Parado ;30.000;2018;
Boêmios da Lapa;Lapa;Centro;09/02/2018;Domingo pós Carnaval;17:00:00;19:00:00;22:00:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;2.000;2003;
Caldeirão do Coqueiro;Santíssimo;Zona Oeste;09/02/2018;Sexta-feira de Carnaval;16:00:00;20:00:00;22:00:00;Praça do Coqueiro;Parado;500;2010;
Carmelitas ;Santa Teresa;Centro;09/02/2018;Sexta-feira de Carnaval;13:00:00;15:00:00;19:00:00;Esquina da ladeira de Santa Teresa com Rua Dias de Barros ;Esquina da ladeira de Santa Teresa com Rua Dias de Barros, segundo até o Largo dos Guimarães ;800;1990;
Cata Latas do Grajaú;Grajaú;Tijuca e Adj;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;22:00:00;Praça Nobel;Parado;450;2011;
Eco Bloco do Rio ;Lapa;Centro;09/02/2018;Sexta-feira de Carnaval;18:00:00;18:00:00;22:00:00;Largo de São Francisco  (Tiradentes);PARADO;3.000;2013;
Embaixadores da Folia;Centro;Centro;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;22:00:00;Buraco do Lume;Parado;8.000;2001;
Escorrega Mas Não Cai;Saúde;Centro;09/02/2018;Sexta-feira de Carnaval;16:00:00;19:00:00;22:00:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, Rua Aníbal Falcão, Rua Coelho e Castro, Rua Edgard Gordilho e Largo São Francisco da Prainha;1.000;2008;
Eu Sou Eu, Jacaré é Bicho D’ Água ;Vila isabel ;Tijuca e Adj;09/02/2018;Sexta-feira de Carnaval;16:00:00;17:00:00;22:00:00;Esquina de Visc. Abaeté com Torres Homem;Parado ;900;2000;
Meia Dúzia de Gatos Pingados;Bangu;Zona Oeste;09/02/2018;Sexta-feira de Carnaval;18:00:00;19:00:00;20:00:00;Avenida Cônego Vasconcelos, em frente a Estação de Bangu;Calçadão de Bangu, até Largo de Bangu (igreja);300;2015;
Rio de Janeiro;Bangu;Zona Oeste;09/02/2018;Sexta-feira de Carnaval;15:00:00;17:00:00;20:00:00;Praça Lucio Leite da Costa ;Praça Lucio Leite da Costa, Rua Walter Cardoso, Rua Oliveira Ribeiro, Rua Silva Cardoso, Rua Santa Cecília e Praça da Fé ;1.800;2018;
Rola Preguiçosa - Tarda mas não falha;Ipanema ;Zona Sul;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;23:00:00;Rua Maria Quitéria, esquina com Epitácio Pessoa;Rua Maria Quitéria, Av. Visconde de Pirajá e Rua Vinícius de Moraes;15.000;1993;
Senta que Eu empurro ;Catete ;Zona Sul;09/02/2018;Sexta-feira de Carnaval;18:00:00;20:00:00;22:00:00;Rua Dois de Dezembro, esquina com Rua do Catete;Rua Artur Bernardes em frente ao nº26, Rua Bento Lisboa, Rua Dois de Dezembro e finalizando na esquina da Rua do Catete em frente ao restaurante Paraíso do Chopp ;2.500;2008;
Te Vejo Por Dentro... Sou da Radiologia;Lapa;Centro;09/02/2018;Sexta-feira de Carnaval;17:00:00;19:00:00;22:00:00;Rua Joaquim Silva 15;Parado;1.000;2015;
Unidos do Chapadão;Ramos;Zona Norte 3;09/02/2018;Sexta-feira de Carnaval;19:00:00;20:00:00;22:00:00;Travessa dos Campeões;Travessa dos Campeões, Avenida dos Campeões até o nº 1,Rua Sargento Gerreira, TV. Horácio, Rua João Romariz, TV. Sargento Gerreira  voltando a Travessa dos Campeões;800;2009;
Vestiu uma Camisinha Listrada e Saiu por Aí;Centro;Centro;09/02/2018;Sexta-feira de Carnaval;16:00:00;16:00:00;22:00:00;Largo da Carioca;Largo da Carioca, 13 de Maio e Cinelandia ;2.000;1992;
Aconteceu;Santa Teresa;Centro;10/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Aurea ;Largo das Neves, Rua Progresso, Rua Oriente, Rua Aurea;1.000;2000;
Afro Dan Ara;Vila isabel ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;17:00:00;19:00:00;20:00:00;Boulevard 28 de Setembro, esquina com Visconde de Abaeté;Boulevard 28 de Setembro, da Rua Visconde de Abaeté até a Praça Barão de Drummond, voltando pelo Boulevard 28 de Setembro até a Visconde de Abaeté;300;2011;
Amigos da Esquina;Engenho de Dentro;Zona Norte 2;10/02/2018;Sábado de Carnaval;18:00:00;20:00:00;22:00:00;Rua Pernambuco 886;Rua Pernambuco, Rua Barbacena e Rua Pernambuco;1.000;2004;
Amigos da Esquina de Madureira - Fla Esquina;Madureira;Zona Norte 1;10/02/2018;Sábado de Carnaval;16:00:00;19:00:00;21:00:00;Praça de Magno ;Parado;500;2017;
Amigos da Joaquim Méier;Méier;Zona Norte 2;10/02/2018;Sábado de Carnaval;18:00:00;20:00:00;22:00:00;Rua Joaquim Méier, 213;Rua Joaquim Méier, Rua Guaju, Rua Oliveira, Rua Dias da Cruz até  a José Veríssimo, retornando pela Rua Dias da Cruz, Rua Oliveira, Rua Guaju e Rua Joaquim Méier;4.000;2000;
Amigos do Catete;Catete ;Zona Sul;10/02/2018;Sábado de Carnaval;16:00:00;18:00:00;21:00:00;Rua Dois de Dezembro, esquina com Rua do Catete;Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro, voltando ao local de concentração;1.000;2000;
Amigos do Wilson Alicate;Praça da Bandeira ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;16:00:00;17:00:00;22:00:00;Rua São Valetim, esquina com Rua Joaquim Palhares;Parado;400;2015;
Associação Cultural e Bloco Cidade Nova;Cidade Nova;Centro;10/02/2018;Sábado de Carnaval;11:00:00;11:00:00;18:00:00;Rua Julio do Carmo 251;Parado;250;2018;
Banda da Penha ;Penha;Zona Norte 1;10/02/2018;Sábado de Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda de Bangu;Bangu;Zona Oeste;10/02/2018;Sábado de Carnaval;14:00:00;19:00:00;20:00:00;Av. Conego Vasconcelos 1029;Desce a Av. Conego Vasconcelos, entra na Rua Oliveira Ribeiro, desce a Rua Silva Cardoso, entra na Rua Santa Cecília, Sobe a Conego Vasconcelos e encerra no número 1029 ;200;2008;
Banda de Ipanema;Ipanema ;Zona Sul;10/02/2018;Sábado de Carnaval;15:00:00;17:30:00;21:00:00;Rua Jangadeiros, esquina com Gomes Carneiro;Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório;90.000;1965;
Banda do Largo da 2ª Feira;Tijuca ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;15:00:00;18:00:00;21:00:00;Rua Conde de Bonfim, 25;PARADO;6.000;1990;
Banda do Mackenzie;Méier;Zona Norte 2;10/02/2018;Sábado de Carnaval;14:00:00;18:00:00;20:00:00;Rua Dias da Cruz, 561;Rua Dias da Cruz, do nº 561 até a Rua Magalhães Couto, retornando ao local de concentração;1.500;1980;
Banda Sá Ferreira;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;14:00:00;16:00:00;20:00:00;Calçadão da Rua Sá Ferreira com Av. Atlântica ;Rua Sá Ferreira, Bulhões de Carvalho, Francisco Otaviano, Av. Atlântica com Sá Ferreira;2.000;1940;
Blocão da Barra;Barra da Tijuca;Barra/JPA;10/02/2018;Sábado de Carnaval;10:00:00;11:00:00;13:00:00;Praça do Ó;Parado;700;2014;
Bloco Afro Zimbauê da Ilha;Ilha do Governador;Zona Norte 3;10/02/2018;Sábado de Carnaval;16:00:00;16:00:00;18:00:00;Praça da Freguesia;Segue pela Praia da Guanabara e Pça Nossa Senhora da Ajuda.;300;2017;
Bloco Boemios do Catruz;Pedra de Guaratiba;Zona Oeste;10/02/2018;sabado de carnaval;21:00:00;21:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2010;
Bloco Carnavalesco Infantil Sementes do Samba;Vila isabel ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;16:00:00;18:00:00;19:00:00;Av. 28 de Setembro 382;Segue pela 28 de Setembro até a esquina da Rua Visconde de Abaeté;600;2015;
bloco carnavalesco pombo correio ;Vila isabel ;Tijuca e Adj;10/02/2018;sábado de carnaval;16:00:00;18:00:00;20:00:00;rua visconde de abaete, N. 129;R. visconde de abaete, R. teodoro da silva, R. gonzaga bastos, Av. boulevard 28 de setembro, R. rocha fragoso.;1500;1994;
Bloco Confetes e Serpentinas ;Pedra de Guaratiba;zona oeste;10/02/2018;sabado de carnaval;19:00:00;20:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2016;
Bloco do Barbas;Botafogo ;Zona Sul;10/02/2018;Sábado de Carnaval;14:00:00;15:30:00;19:30:00;Rua Assis Bueno, esquina com Arnaldo Quintela;Rua Arnaldo Quintela, Rua da Passagem e Rua General Góes Monteiro;5.000;1985;
Bloco do Camelo ;Ilha de Paquetá;Centro;10/02/2018;Sábado de Carnaval;16:00:00;19:00:00;21:00:00;Praia José Bonifacio ;Praia José Bonifacio e Furkim Werneck ;400;1984;
Bloco do Show do Antonio Carlos;Glória ;Zona Sul;10/02/2018;Sábado de Carnaval;09:00:00;12:30:00;15:00:00;Rua do Russel, nº 434;Rua do Russel, Largo da Glória, Av. Augusto Severo (junto as edificções), Rua Mestre Valentim e Av. Luis de Vasconcelos (junto ao Passeio).;3.000;2002;
Bloco do Tamanco;Padre Miguel;Zona Oeste;10/02/2018;Sábado de Carnaval;11:00:00;13:00:00;17:00:00;Rua D, 19;Rua D, Figueiredo Camargo até o campo do Bangu e volta;3.500;2013;
Bloco dos Serragens;Ilha de Paquetá;Centro;10/02/2018;Sábado de Carnaval;15:00:00;15:00:00;20:00:00;Rua Adelaide Alambari 85;Rua Adelaide Alambari, Rua Alambari Luz, Praia da Moreninha, Rua Principe Regente, Praça Bom Jesus.;500;2007;
Bloco Guri da Barra;Barra da Tijuca;Barra/JPA;10/02/2018;Sábado de Carnaval;17:00:00;17:00:00;19:00:00;Praça do Pomar;Parado;300;2018;
Cachorrão de Bangu ;Bangu;Zona Oeste;10/02/2018;Sábado de Carnaval;16:00:00;19:00:00;22:00:00;Rua 12 de Fevereiro / Santa Cecília ;Rua 12 de Fevereiro, Rua Santa Cecília, Rangel Pestana ;200;2006;
Caldeirão do Coqueiro;Santíssimo;Zona Oeste;10/02/2018;Sábado de Carnaval;16:00:00;20:00:00;22:00:00;Praça do Coqueiro;Parado;500;2010;
Cantinho do Urubu;Madureira;Zona Norte 1;10/02/2018;Sábado de Carnaval;20:00:00;20:00:00;22:00:00;Estrada do Portela, em frente ao nº 350;Parado;1.000;2013;
Carioca da Gema;Lapa;Centro;10/02/2018;Sábado de Carnaval;15:00:00;16:00:00;21:00:00;Rua dos Arcos, 24 - em frente à Fundição Progresso;Rua dos Arcos, 24 - em frente à Fundição Progresso (Parado em palco montado em frente a Fundição);1.000;2006;
Carrossel de Emoções;Barra da Tijuca;Barra/JPA;10/02/2018;Sábado de Carnaval;08:00:00;09:00:00;13:00:00;Arena Blocos;Parado;100.000;2016;
Céu na Terra;Santa Teresa;Centro;10/02/2018;Sábado de Carnaval;07:00:00;08:00:00;11:00:00;Largo dos Guimarães;Rua Alm. Alexandrino, Largo do Curvelo;7.000;2001;
Chora 10;Tijuca ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;16:00:00;19:00:00;22:00:00;Rua São Miguel, 430;Rua São Miguel, Rua Santa Carolina, Avenida Maracanã, Rua São Rafael e Rua São Miguel;1.000;2011;
Ciganas Feiticeiras de Olaria;Olaria;Zona Norte 3;10/02/2018;Sábado de Carnaval;17:00:00;19:00:00;21:00:00;Rua Paranhos, esquina com João Rego;Rua João Rego, Rua Delfim Carlos, Rua Paranhos até origem.;1.000;1995;
Confraria do Peru Sadio;Leme ;Zona Sul;10/02/2018;Segunda-feira de Carnaval;14:00:00;16:00:00;20:00:00;Avenida Atlântica, 514 (em frente ao Sindicato do Chopp);Avenida Atlântica, seguindo até a esquina da Princesa Isabel e retornando pela Av. Atlantica até o Posto 01;1.500;2004;
Coração das Crianças;Rocinha;Zona Sul;10/02/2018;Sábado de Carnaval;18:00:00;20:00:00;22:00:00;Rua Nova (antiga Rua 4), esquina com Estrada da Gávea;Rua 4 até Cidade Nova ;600;1978;
Cordão Alegria da Tijuca;Tijuca ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;18:00:00;18:00:00;22:00:00;Rua Afonso Pena, entre Haddock Lobo e Doutor Satamini;Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Doutor Satamini, Largo da Segunda-feira, Rua Haddock Lobo e Rua Afonso Pena;15.000;2001;
Cordão da Bola Preta;Centro;Centro;10/02/2018;Sábado de Carnaval;07:00:00;09:00:00;14:00:00;Av. Presidente Antonio Carlos em Frente ao Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;1.500.000;1919;
Cordão do Prata Preta;Gamboa;Centro;10/02/2018;Sábado de Carnaval;16:00:00;18:00:00;22:00:00;Praça Coronel Assumpção (Praça da Harmonia);Praça da Harmonia, Sacadura Cabral e Largo São Francisco da Prainha;800;2005;
Deita Mas Não Dorme ;Taquara;Barra/JPA;10/02/2018;Sábado de Carnaval;14:00:00;16:00:00;20:00:00;Rua Caituba ;Parado;500;2009;
Diversão Brasileira;Tijuca ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;14:00:00;15:00:00;20:00:00;Praça Xavier de Brito;Parado;1.200;2011;
D'Jorge;Senador Camará;Zona Oeste;10/02/2018;Sábado de Carnaval;18:00:00;18:00:00;21:00:00;Rua Marco Sete;Parado;600;2018;
Dois Pra Lá, Dois Pra Cá;Botafogo ;Zona Sul;10/02/2018;Sábado de Carnaval;08:00:00;10:00:00;14:00:00;Rua Álvaro Ramos, 11;Álvaro Ramos, R. General Goes Monteiro, Av. Lauro Sodré, Túnel Novo (lado esquerdo), Av. Princesa isabel e Av. Atlântica ;1.000;1991;
Empolga às 9;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;09:00:00;11:00:00;15:00:00;Avenida Atlântica, esquina com a Av. Rainha Elizabeth;Avenida Atlântica, da Av. Rainha Elizabeth até a Rua Constate Ramos ;2.500;2003;
Escangalha!;Jardim Botânico ;Zona Sul;10/02/2018;Sábado de Carnaval;08:00:00;10:00:00;14:00:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont;7.000;2007;
Estica do Flamengo;Flamengo ;Zona Sul;10/02/2018;Sábado de Carnaval;16:00:00;18:00:00;21:00:00;Praça Sandro Moreira;Parado;1.700;2008;
Fiquei Firme ;Saúde;Centro;10/02/2018;Sábado de Carnaval;17:00:00;18:00:00;22:00:00;Praça Américo Brum;Praça Américo Brum, Ladeira do Barroso, Ladeira do Livramento, Rua Sacadura Cabral e Largo São Francisco da Prainha;500;2010;
Fogo na Cueca;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;14:00:00;14:00:00;20:00:00;Rua Anita Garibaldi;Rua Anita Garibaldi, Rua Maestro Francisco Braga, passa em frente ao Bar Pontinho, Rua Décio Vilares, Pça Vereador Rocha Leão, Rua Henrique Oswald, termina Rua Santa Clara, 431;1.100;1998;
Fome Zero;Madureira;Zona Norte 1;10/02/2018;Sábado de Carnaval;14:00:00;15:00:00;20:00:00;Rua Domingos Fernandes;Rua Domingos Fernandes, Rua Leopoldina de Oliveira, Rua Nunes de Souza e Rua Domingos Fernandes;1.000;2009;
Galo da Santa Clara;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;17:00:00;17:00:00;22:00:00;Rua Henrique Oswald 431;Parado;1.500;2011;
Harmonia de Copacabana;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;16:00:00;16:00:00;20:00:00;Avenida Atlântica esquina da Siqueira Campos ;Avenida Atlantica da Siqueira Campos até a Rua República do Perú e retornando a Concentração.;4000;2001;
Maravilhas do Porto;Saúde;Centro;10/02/2018;Sábado de Carnaval;11:00:00;11:00:00;16:00:00;Largo São Francisco da Prainha;Parado;400;2012;
Me Leva que Eu Vou;Bangu;Zona Oeste;10/02/2018;Sábado de Carnaval;19:00:00;20:00:00;21:00:00;Rua Santa Cecília c/ Silva Cardoso ;Segue Rua Santa Cecília e finaliza na Rua Santa Cecília com Rua Bangu ;500;2016;
MultiBloco;Lapa;Centro;10/02/2018;Sábado de Carnaval;08:00:00;09:00:00;13:00:00;Rua do Senado ;Gomes Freire Rua do Resende ;1.250;2009;
Na Hora Que Se Vê;Ilha do Governador;Zona Norte 3;10/02/2018;Sábado de Carnaval;17:00:00;17:00:00;21:00:00;Praia da Rosa, em frente ao Governador Iate Clube;Praia da Rosa, Avenida do Magistério, Rua Aristarco Ramos, Estrada do Dendê e Praia da Rosa, voltando ao local de concentração;400;2015;
Na Pressão Eu Vou;Campo Grande;Zona Oeste;10/02/2018;Sábado de Carnaval;12:00:00;14:00:00;18:00:00;Avenida Cesário de Melo, esquina com Coronel Agostinho;Rua Coronel Agostinho, Rua Viúva Dantas, seguindo até a esquina da José Ferreira;1.000;2000;
New Kids On The Bloco;São Conrado ;Zona Sul;10/02/2018;Domingo de Carnaval;08:00:00;08:00:00;14:00:00;São Conrado, Em frente ao Golfe Clube, parado;Parado;5000;2014;
Nós 4 Na Pista;Ilha do Governador;Zona Norte 3;10/02/2018;Sábado de Carnaval;15:00:00;15:00:00;19:00:00;Praia da Engenhoca (Final);PARADO;500;2015;
O Remédio é o Samba ;Copacabana ;Zona Sul;10/02/2018;Sábado de Carnaval;17:00:00;19:00:00;21:00:00;Avenida Atlântica com Xavier Silveira;Concentra na esquina da Av. Atlântica com a Xavier da Silveira e segue em direção ao posto 6, retornando ao local da concentração ;1.000;2001;
Olha Pá Mim;Tijuca ;Tijuca e Adj;10/02/2018;Sábado de Carnaval;14:00:00;16:00:00;20:00:00;Praça Afonso Pena;Parado;500;2016;
Oswaldo Cruz Maravilha ;Oswaldo Cruz;Zona Norte 1;10/02/2018;Sábado de Carnaval;15:00:00;17:00:00;20:00:00;Estrada do Portela – Império Serrano;Estrada do Portela Império Serrano até a praça Paulo da Portela ;3.000;1993;
Pinta Mas Não Borra;Botafogo ;Zona Sul;10/02/2018;Sábado de Carnaval;16:30:00;17:30:00;20:30:00;Rua Voluntários da Pátria, nº 34;Rua Voluntários da Pátria, nº 34, Rua São Clemente, nº 1, Rua Nelson Mandela e Rua Voluntários da Pátria até o nº 34;7.000;2007;
Rebarbas;Botafogo ;Zona Sul;10/02/2018;Sábado de Carnaval;15:00:00;15:00:00;21:00:00;Praça Mauro Duarte;Parado;2.500;2002;
Rir Pra Não Chorar ;Recreio dos Bandeirantes;Barra/JPA;10/02/2018;Sábado de Carnaval;10:00:00;10:00:00;12:00:00;Posto 10 ;Av. Lúcio Costa do Posto 10 ao 9;700;2018;
Semente do Amanhã ;São Cristóvão;Centro;10/02/2018;Sábado de Carnaval;15:00:00;16:00:00;19:00:00;Rua São Luiz Gonzaga 966;Rua São Luiz Gonzaga 966, Largo da Cancela e Dispersão na Av. Rotary Internacional na Entrada da Quinta da Boa Vista ;500;2012;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;10/02/2018;Sábado de Carnaval;16:00:00;19:00:00;22:00:00;Largo Maria Martha Ward;Rua Teodoro da Silva, Rua José Vicente, Rua Meira Vasconcelos, Rua Faria de Brito, Rua Barão de Mesquita e Largo Irma Maria Marta Ward;1.200;2008;
Sou Cheio de Amor;Recreio dos Bandeirantes;Barra/JPA;10/02/2018;Sábado de Carnaval;15:00:00;16:00:00;21:00:00;Av. Lucio Costa 3300 BarraMares;Avenida Lucio Costa 3300 até a Praça do Ó;600;2014;
Terreirada Cearense;São Cristóvão;Centro;10/02/2018;Sábado de Carnaval;13:00:00;14:00:00;19:00:00;Quinta da Boa Vista;Quinta da Boa Vista - Parado;2.500;2012;
Tigres do Coqueiro;Pedra de Guaratiba;Zona Oeste;10/02/2018;Sábado de Carnaval;17:00:00;19:00:00;21:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão Nº283 até o Nº427;300;2007;
Turma do Gato Futebol e Samba;Pilares;Zona Norte 2;10/02/2018;Sábado de Carnaval;12:00:00;17:00:00;18:00:00;Rua Djalma Dutra, nº 110;Rua Djalma Dutra, Av. Dom Hélder Câmara e Av. João Ribeiro;2.000;2001;
Unidos da Travessa Miracema;Méier;Zona Norte 2;10/02/2018;Sábado de Carnaval;14:00:00;19:00:00;20:00:00;Travessa Miracema;Travessa Miracema, Rua Dias da Cruz até a Magalhães Couto, retornando pela Dias da Cruz até a Travessa Miracema;1.200;2018;
Vamos que Vamos;Campo Grande;Zona Oeste;10/02/2018;Sábado de Carnaval;16:00:00;18:00:00;20:00:00;Rua Santo Amando;Rua Santo Amando, Rua Damião de Goes, Rua São Potito, Rua Henri Dunant e retorno a origem;600;2017;
Vem Comigo  ;Vila Cosmos;Zona Norte 1;10/02/2018;Sábado de Carnaval;14:00:00;17:30:00;19:00:00;Rua Itacambira c/Av. Meriti;Rua Alecrim, Rua Itacambira com Rua Imbiaça.;1.200;2000;
Verde e Branco do Zumbi;Ilha do Governador;Zona Norte 3;10/02/2018;Sábado de Carnaval;10:00:00;11:00:00;16:00:00;Rua Peixoto de Carvalho;Rua Peixoto de Carvalho, Praia do Zumbi, Rua Pojuca, Estrada do Rio Jequiá, Rua Gaspar de Souza e Rua Peixoto de Carvalho;600;2001;
Virilha de Minhoca;Bangu;Zona oeste;10/02/2018;Sábado de Carnaval;18:00:00;19:00:00;22:00:00;Rua Fonseca 1078;Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca;6.000;2002;
10+ Malandros;Bangu;Zona Oeste;11/02/2018;Domingo de Carnaval;12:00:00;15:00:00;18:00:00;Rua Bela Flor, 52;Rua Bela Flor, Rua Figueiredo Camargo com deslocamento até a Rua Cherburgo (Ponto Chic);2.000;2012;
A Nega Indoidou;Centro;Centro;11/02/2018;Segunda-feira de Carnaval;16:00:00;16:00:00;22:00:00;Rua Alvaro Alvim;Parado;1.000;2012;
Afoxé Filhos de Gandhi;Gamboa;Centro;11/02/2018;Domingo de Carnaval;17:00:00;18:00:00;21:00:00;Praça da Harmonia;Rua Sacadura Cabral, Rua Camerino e Praça dos Estivadores;500;1952;
Ai, Que Vergonha!;São Conrado ;Zona Sul;11/02/2018;Domingo de Carnaval;16:00:00;17:00:00;21:00:00;Avenida Prefeito Mendes de Moraes, em frente ao Posto 12;Avenida Prefeito Mendes de Moraes, Avenida Aquarela do Brasil e Rua Berta Lutz 80;900;2007;
Alegria de Palmares;Jardim Palmares;Zona Oeste;11/02/2018;Domingo  de Carnaval;15:00:00;16:00:00;18:00:00;Bar do Jacó ;Início: Rua Soldado Elias de Souza, Rua Felisbino dos Santos, Rua Soldado Julio de Vasconcelos, Caio Basílio Junior e volta para a Rua Elias de Souza ;500;2010;
Alegria de Quintino ;Quintino Bocaiúva;Zona Norte 1;11/02/2018;Domingo de Carnaval;14:00:00;17:00:00;20:00:00;Rua Olina ;Rua Olina, Rua Barros Leite, Elias da Silva, Nerval de Gouveia e finaliza na Praça de Quintino;300;2005;
Amigos da Esquina de Madureira - Fla Esquina;Madureira;Zona Norte 1;11/02/2018;Domingo de Carnaval;16:00:00;19:00:00;21:00:00;Praça de Magno ;Parado;500;2017;
Areia;Leblon ;Zona Sul;11/02/2018;Domingo de Carnaval;08:00:00;10:00:00;14:00:00;Posto 12 ;Sai do posto 12 até o posto 11;10.000;2003;
Badalo de Santa Teresa;Santa Teresa;Centro;11/02/2018;Domingo de Carnaval;16:00:00;17:30:00;22:00:00;Rua Monte Alegre 306 (em frente ao Centro Cultural);Segue pela Rua do Oriente, Rua Progresso até dispersar no Largo das Neves;1.000;1972;
Bafo do Peru ;Padre Miguel;Zona Oeste;11/02/2018;Domingo de Carnaval;17:00:00;18:00:00;22:00:00;Rua Tapiranga (Largo);Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga ;800;2008;
Balanço do Pinto;Tijuca ;Tijuca e Adj;11/02/2018;Domingo de Carnaval;17:00:00;20:00:00;22:00:00;Rua Pinto de Figueiredo, nº 26;Rua Pinto de Figueiredo, Avenida Maracanã, Rua Barão de Mesquita, Rua General Roca, Rua Conde de Bonfim e Rua Pinto de Figueiredo;1.000;2009;
Bambas do Catete;Catete ;Zona Sul;11/02/2018;Domingo de Carnaval;15:00:00;15:00:00;21:00:00;Praça do Poeta;Praça do Poeta - Parado;1.000;2002;
Banda da Amizade;Lapa;Centro;11/02/2018;Domingo de Carnaval;15:00:00;17:00:00;21:00:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Carlos Sampaio, Washington Luiz, Conselheiro Josino, Henrique Valadares, Cruz Vermelha, Carlos Sampaio  e Rua Tadeu Kosciusko;1.000;1999;
Banda da Conceição;Saúde;Centro;11/02/2018;Domingo de Carnaval;17:00:00;18:00:00;22:00:00;Praça Major Valo;Praça major Valo, Ladeira João Homem, Rua Sacadura Cabral, Rua São Francisco da Prainha, Pedra do Sal, Jogo da Bola, Preça Major Valo;500;1971;
Banda da Glória;Glória ;Zona Sul;11/02/2018;Domingo de Carnaval;16:00:00;16:00:00;22:00:00;Rua da Glória 180;Parado;500;1974;
Banda da Inválidos;Lapa;Centro;11/02/2018;Domingo de Carnaval;16:30:00;18:30:00;22:00:00;Rua dos Inválidos, entre Av. Mem de Sá e Henrique Valadares;"Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Av.Henrique Valadares, Rua dos Inválidos;";1.000;1976;
Banda da Penha ;Penha;Zona Norte 1;11/02/2018;Domingo de Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda do Bairro de Fátima;Bairro de Fátima;Centro;11/02/2018;Domingo de Carnaval;10:00:00;11:00:00;15:00:00;Praça Presidente Aguirre Cerda;Praça Presidente Aguirre Cerda, Av. Nossa Senhora de Fatima, Rua Tadeu Kosciusko, Rua do Resende, Rua Ubaldino do Amaral, Washington, Rua Tadeu Kosciusko, Av. Nossa Senhora de Fátima. ;900;1977;
Banda do Lidinho;Copacabana ;Zona Sul;11/02/2018;Domingo de Carnaval;15:00:00;15:00:00;19:00:00;Praça do Lido;Praça do Lido - Parado;1.000;1969;
