Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Ilha Encosta que Ele Cresce;Ilha do Governador;Zona Norte 3;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;16:00:00;21:00:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 1.191 (Farol da Ilha);900;2010;
Imaginô? Agora Amassa!;Leblon ;Zona Sul;03/02/2018;Sexta - 1 semana antes do Carnaval;07:00:00;09:00:00;13:00:00;Rua José Linhares, esquina com Rua Conde de Bernadote;Rua José Linhares, Avenida Ataulfo de Paiva, seguindo até a esquina da Carlos Góis;10.000;2003;
Já Comi Pior Pagando;Tijuca ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;16:00:00;22:00:00;Rua Leite de Abreu;PARADO;1.000;2010;
Lexa – Vem Que To Querendo ;Bangu;Zona Oeste;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;15:00:00;21:00:00;Praça da Fé;Parado  ;2.000;2018;
Me Engana Que Eu Gosto;Botafogo ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Jóia Valansi;Parado;1.000;1985;
Mini Bloco;Tijuca ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;09:00:00;09:00:00;14:00:00;Praça Xavier de Brito;Parado;900;2013;
Mistura de Santa;Santa Teresa;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;17:00:00;18:00:00;22:00:00;Mirante do Rato Molhado;Segue pela Rua Aprazível até dispersar na lateral do Castelo São Valentim na parte alta da Rua Almirante Alexandrino.;500;2014;
Morde e Pica Toda Hora ;Jacarepaguá;Barra/JPA;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;15:00:00;21:00:00;Rua Jorge Faraj ;Parado ;200;2012;
Os Monarcas;Ilha do Governador;Zona Norte 3;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Praia da Engenhoca (Quiosque 5);Subida Rua Paramopama, retornando pela Praça Iaiá Garcia, pela Fernando da Fonseca, Rua do Airão até a Praia da Engenhoca;500;2003;
Parei de Beber, Não de Mentir!;Curicica;Barra/JPA;03/02/2018;Sábado - 1 semana antes do Carnaval;15:00:00;15:00:00;20:00:00;Praça do Bandolim;Parado;3.000;2009;
Pérola da Guanabara;Ilha de Paquetá;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;14:00:00;20:00:00;Praça São Roque;Parado;10.000;2011;
Pinto Sarado;Santo Cristo;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;17:00:00;20:00:00;Travessa Sara;Travessa Sara, Rua Atilia, Rua Orestes, Rua Sara, Rua Santo Cristo, Rua da América e Rua Barão da Gamboa.;1.500;2007;
Plantão Bom é Sambaia ;Vila isabel ;Tijuca e Adj;03/02/2018;Sábado - 1 semana antes do Carnaval;13:00:00;13:00:00;17:00:00;Praça Maracanã (em frente a UERJ);Parado;100;2011;
Põe na Quentinha?;Centro;Centro;03/02/2018;Sábado - 1 semana antes do Carnaval;13:00:00;14:00:00;19:00:00;Rua Conselheiro Saraiva, em frente ao nº 39;Parado  ;1.500;2015;
Pra que Juízo ;Vila da Penha;Zona Norte 1 ;03/02/2018;Sábado - 1 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Largo do Bicão ;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo ;2.000;2018;
Rio Pandeiro;Laranjeiras ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;13:00:00;13:00:00;19:00:00;Praça São Salvador;Parado;600;2010;
Se Deixar Eu Boto;Pavuna;Zona Norte 1;03/02/2018;Sábado - 1 semana antes do Carnaval;17:00:00;20:00:00;22:00:00;Rua Sargento Manoel Chagas com Rua Capitão Gouveia ;Parado;1.200;2012;
Serrote Afiado;Engenho da Rainha;Zona Norte 2;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;20:00:00;22:00:00;Rua Mario ferreira, 217;Rua Mario Ferreira, Rua Ferreira de Menezes, Rua pereira pinto, Rua Carlos Gonçalves Penna.;1.000;2004;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;03/02/2018;Sábado – 1 semana antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
Simpatia é Quase Amor;Ipanema ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Teixeira de Melo – Praia;Rua Teixeira de Melo e Avenida Vieira Souto até a Henrique Dumont;300.000;1985;
Só o Cume Interessa;Urca ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;10:00:00;13:00:00;16:00:00;Praça General Tibúrcio;PARADO;300;2005;
Vem Mamar;Jacarepaguá;Barra/JPA;03/02/2018;Sábado - 1 semana antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo da Capela ;Parado;300;2014;
Xupa Mas Não Baba;Laranjeiras ;Zona Sul;03/02/2018;Sábado - 1 semana antes do Carnaval;10:00:00;12:00:00;16:00:00;Rua Alice, nº 1;Rua Alice, do nº 1 ao nº 550 - esquina com Mario Portela;800;1989;
Acorda e vem Brincar;Vila Valqueire;Barra/JPA;04/02/2018;Domingo - 1 semana antes do Carnaval;10:00:00;13:00:00;16:00:00;Rua das Dálias;Rua das Dálias, Rua das Verbenas, Rua das Camélias e Rua das Dálias;1.000;2007;
Bailinho do Capitão Trombeta ;Ilha do Governador;Zona Norte 3;04/02/2018;Domingo - 1 semana antes do Carnaval;08:00:00;09:00:00;12:00:00;Praça Iaiá Garcia;Parado;100;2018;
Banda da Amizade;Lapa;Centro;04/02/2018;Domingo - 1 semana antes do Carnaval;15:00:00;17:00:00;21:00:00;Rua Tadeu Kosciusco;Rua Tadeu Kosciusko, Carlos Sampaio, Washington Luiz, Conselheiro Josino, Henrique Valadares, Cruz Vermelha, Carlos Sampaio  e Rua Tadeu Kosciusko;1.000;1999;
